item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,kpi_score,,inventory_value,days_of_inventory,inventory_coverage_days,stockout_risk,holding_cost_exposure,safety_stock,reorder_quantity,excess_inventory_flag,slow_moving_flag,fast_moving_flag,forecast_accuracy_gap,demand_growth_pct,supplier_id
ITM10000,Pharma,283,21,4,4,49.85,1.56,0.43,L82,B,106,3.61,117.8,1.14,0,0.8,700,3.33,0.33,2/17/24,184.37,0.556,,33337.4,5.677031093,10.74469816,Low,322.62,5.148,0,YES,YES,NO,164.58,,SUP014
ITM10001,Automotive,301,52,9,6,23.34,2.55,0.69,L15,A,45,3.54,178.8,1.09,3,0.79,736,10.36,0.98,10/1/24,221.94,0.723,,53818.8,12.89631534,9.493556817,Medium,328.09,10.30622809,0,YES,NO,NO,58.56,,SUP003
ITM10002,Groceries,132,60,11,8,37.69,3.15,0.62,L4,B,177,0.52,54.05,0.95,7,0.75,814,14.32,0.87,4/7/24,53.85,0.68,,7134.6,3.50225524,17.15877437,Medium,125.4,14.70074998,0,YES,NO,YES,209.98,,SUP010
ITM10003,Automotive,346,46,13,5,33.69,2.79,0.21,L95,A,39,2.64,31.1,1.9,0,0.96,994,2.08,0.29,1/27/24,92.04,0.488,,10760.6,10.27010982,26.31464581,Low,657.4,10.29373893,0,YES,YES,NO,143.79,,SUP010
ITM10004,Automotive,49,55,4,6,49.58,5.23,0.31,L36,D,35,1.4,104.97,0.63,5,0.83,299,5.65,0.96,5/17/24,194.58,0.67,,5143.53,0.988301735,1.762771097,High,30.87,21.13787174,6,NO,NO,NO,152.48,,SUP004
ITM10005,Apparel,154,62,9,6,35.95,9.47,0.41,L32,A,94,1.96,164.12,0.66,1,0.99,477,7.61,0.95,7/12/24,180.65,0.803,,25274.48,4.283727399,5.967340161,Low,101.64,38.27450198,0,YES,NO,NO,71,,SUP009
ITM10006,Groceries,86,97,6,4,9.04,4.72,0.28,L29,C,110,4.9,134.38,0.37,8,0.88,418,4.25,0.45,12/10/24,223.69,0.526,,11556.68,9.513274336,2.691224462,High,31.82,15.576,11,NO,YES,NO,160.41,,SUP001
ITM10007,Groceries,84,89,13,4,47.82,6.78,0.24,L18,D,130,0.88,131.09,1.42,7,0.74,958,11.37,0.7,11/5/24,195.75,0.558,,11011.56,1.756587202,3.003831418,High,119.28,22.374,5,NO,NO,NO,138.99,,SUP009
ITM10008,Groceries,311,22,4,9,33.72,7.04,0.15,L95,D,40,3.75,13.32,0.71,8,0.86,697,10.64,0.29,11/4/24,105.74,0.541,,4142.52,9.223013049,20.58823529,Medium,220.81,34.848,0,YES,NO,NO,130.3,,SUP002
ITM10009,Automotive,44,98,9,8,3.91,8.78,0.89,L14,A,26,1.28,70.32,1.63,8,1,496,2.65,0.27,1/21/24,154.78,0.366,,3094.08,11.25319693,1.989921178,High,71.72,40.97542376,54,NO,YES,NO,127.41,,SUP011
ITM10010,Pharma,56,63,7,2,33.22,0.82,0.36,L87,B,107,0.53,188.5,1.95,1,0.87,71,8.97,0.6,2/7/24,266.58,0.599,,10556,1.685731487,1.470477905,High,109.2,1.91343095,7,NO,NO,NO,34.04,,SUP002
ITM10011,Groceries,20,66,3,7,44.27,4.34,0.36,L95,A,135,2.76,35.51,0.18,1,0.7,599,6.16,0.24,4/6/24,63.97,0.632,,710.2,0.45177321,2.188525872,High,3.6,18.94622514,46,NO,NO,NO,245.92,,SUP008
ITM10012,Automotive,418,13,7,3,29.28,7.95,0.29,L70,A,33,1.23,148.01,1.99,8,0.98,588,4.2,0.9,10/27/24,119.26,0.473,,61868.18,14.27595628,24.53463022,Medium,831.82,22.72017647,0,YES,YES,NO,85.7,,SUP009
ITM10013,Apparel,56,84,14,5,18.35,8.24,0.53,L12,D,131,4.84,154.27,0.58,1,0.77,331,12.88,0.94,12/9/24,254.1,0.836,,8639.12,3.051771117,1.542699725,High,32.48,30.40158022,28,NO,NO,YES,125.65,,SUP013
ITM10014,Pharma,160,58,14,4,41.22,9.31,0.56,L76,C,141,1.42,149.24,0.9,3,0.91,328,1.77,0.25,10/13/24,115.62,0.506,,23878.4,3.881610869,9.68690538,Medium,144,30.723,0,YES,YES,NO,172.92,,SUP006
ITM10015,Apparel,251,16,5,5,39.34,7.18,0.29,L55,B,146,1.36,197.96,1.58,1,0.85,169,7.54,0.24,4/21/24,129.55,0.541,,49687.96,6.38027453,13.56233115,Low,396.58,26.49069733,0,YES,NO,NO,145.83,,SUP015
ITM10016,Pharma,155,20,9,7,27.66,2.83,0.65,L5,A,139,0.64,87.75,1.36,0,0.8,302,7.65,0.38,9/2/24,102.57,0.602,,13601.25,5.603759942,10.57814176,Low,210.8,12.35433575,0,YES,NO,NO,91.05,,SUP002
ITM10017,Automotive,408,63,8,7,8.56,5.3,0.75,L4,C,172,1.98,139.62,1.58,9,0.78,920,8.98,0.94,4/16/24,270.86,0.526,,56964.96,47.6635514,10.54419257,Medium,644.64,23.13709522,0,YES,NO,NO,210.94,,SUP014
ITM10018,Electronics,207,96,10,8,13.3,0.81,0.44,L12,C,132,0.61,46.79,0.99,6,0.98,526,3.77,0.82,6/19/24,202.37,0.591,,9685.53,15.56390977,7.160152196,Medium,204.93,3.780192852,0,YES,YES,NO,109.27,,SUP012
ITM10019,Pharma,147,54,7,6,37.19,6.65,0.63,L28,B,47,2.74,85.94,1.84,4,0.97,114,13.2,0.74,6/4/24,70.55,0.654,,12633.18,3.95267545,14.58540043,Medium,270.48,26.8770262,0,YES,NO,YES,189.78,,SUP003
ITM10020,Apparel,220,32,4,8,40.5,5.77,0.55,L30,C,152,2.78,103.4,1.6,2,0.85,635,14.51,0.82,1/8/24,227.39,0.727,,22748,5.432098765,6.772505387,Low,352,26.92804044,0,YES,NO,YES,56.11,,SUP006
ITM10021,Automotive,146,37,11,3,14.68,6.83,0.28,L65,A,179,0.74,50.82,0.69,7,0.78,352,8.69,0.36,4/18/24,21.17,0.535,,7419.72,9.945504087,48.27586207,Medium,100.74,19.51934658,0,YES,NO,NO,81.59,,SUP012
ITM10022,Pharma,276,66,13,2,19.03,9.34,0.76,L78,D,140,1.58,182.29,1.9,4,0.73,366,4.59,0.41,4/7/24,124.96,0.419,,50312.04,14.50341566,15.4609475,Medium,524.4,21.79444521,0,YES,YES,NO,8.25,,SUP015
ITM10023,Electronics,183,35,10,5,4.8,7.03,0.82,L4,C,168,4.24,146.08,1.93,0,0.75,223,13.28,0.45,3/1/24,273.83,0.624,,26732.64,38.125,4.678084943,Low,353.19,25.93727051,0,YES,NO,YES,240.23,,SUP003
ITM10024,Electronics,54,34,8,3,35.96,3.54,0.68,L72,D,178,2.58,63.91,0.89,8,0.86,949,14.83,0.68,9/2/24,210.04,0.657,,3451.14,1.501668521,1.799657208,Medium,48.06,10.11690877,0,NO,NO,YES,41.68,,SUP008
ITM10025,Groceries,213,63,12,9,1.18,2.39,0.39,L26,B,66,2.46,35.64,1.34,4,0.79,464,11.39,0.69,5/4/24,240,0.634,,7591.32,180.5084746,6.2125,Medium,285.42,11.8305,0,YES,NO,NO,231.74,,SUP007
