po_id,supplier_id,item_id,order_date,expected_delivery_date,actual_delivery_date,order_quantity,unit_cost,total_purchase_cost,po_status
PO00001,SUP015,ITM13119,11/23/24,11/25/24,11/28/24,331,46.86,15510.66,Delivered
PO00002,SUP013,ITM11780,3/12/24,3/14/24,3/17/24,808,56.69,45805.52,Delivered
PO00003,SUP003,ITM11872,2/14/24,2/17/24,2/15/24,80,14.36,1148.8,Delivered
PO00004,SUP009,ITM10034,4/29/24,5/2/24,4/30/24,624,36.38,22701.12,Delivered
PO00005,SUP014,ITM11688,11/28/24,12/7/24,12/8/24,275,48.73,13400.75,Delivered
PO00006,SUP006,ITM11036,5/22/24,5/29/24,,56,61.64,3451.84,Open
PO00007,SUP002,ITM13176,3/22/24,3/28/24,3/28/24,334,45.86,15317.24,Delivered
PO00008,SUP013,ITM10234,6/21/24,6/30/24,7/1/24,149,130.54,19450.46,Delivered
PO00009,SUP015,ITM12491,6/25/24,6/28/24,6/26/24,797,7.93,6320.21,Delivered
PO00010,SUP009,ITM10606,3/4/24,3/13/24,,437,123.07,53781.59,Cancelled
PO00011,SUP004,ITM10787,5/30/24,6/5/24,,683,103.1,70417.3,Open
PO00012,SUP007,ITM10532,7/4/24,7/10/24,7/13/24,121,56.92,6887.32,Delivered
PO00013,SUP001,ITM10167,4/26/24,5/1/24,,131,102.06,13369.86,Open
PO00014,SUP003,ITM12566,2/21/24,2/25/24,2/26/24,700,142.09,99463,Delivered
PO00015,SUP012,ITM12751,3/24/24,4/2/24,4/1/24,736,94.61,69632.96,Delivered
PO00016,SUP008,ITM12501,12/15/24,12/23/24,12/25/24,700,62.95,44065,Delivered
PO00017,SUP008,ITM12880,5/5/24,5/11/24,5/12/24,326,105.59,34422.34,Delivered
PO00018,SUP013,ITM11631,11/23/24,11/27/24,11/26/24,751,16.81,12624.31,Delivered
PO00019,SUP011,ITM11686,1/29/24,2/6/24,2/4/24,874,86.43,75539.82,Delivered
PO00020,SUP012,ITM10361,5/17/24,5/19/24,5/21/24,947,123.38,116840.86,Delivered
PO00021,SUP006,ITM11029,4/18/24,4/23/24,4/24/24,955,19.55,18670.25,Delivered
PO00022,SUP008,ITM10123,8/22/24,8/27/24,8/26/24,302,80.17,24211.34,Delivered
PO00023,SUP009,ITM11492,10/2/24,10/4/24,10/6/24,488,103.42,50468.96,Delivered
PO00024,SUP005,ITM11035,7/23/24,7/28/24,7/27/24,571,49.73,28395.83,Delivered
PO00025,SUP002,ITM11866,1/25/24,1/31/24,,206,126.71,26102.26,Open
PO00026,SUP006,ITM13135,12/14/24,12/19/24,12/17/24,444,69.76,30973.44,Delivered
