sales_order_id,customer_id,item_id,order_date,quantity_ordered,unit_price,sales_revenue,order_status
SO00001,CUST0141,ITM12905,2024-11-23,4,154.25,617.0,Fulfilled
SO00002,CUST0053,ITM11173,2024-05-05,8,135.08,1080.64,Fulfilled
SO00003,CUST0045,ITM10867,2024-12-12,24,147.51,3540.24,Backordered
SO00004,CUST0048,ITM11407,2024-10-29,14,60.22,843.08,Fulfilled
SO00005,CUST0014,ITM10850,2024-04-21,8,72.75,582.0,Fulfilled
SO00006,CUST0360,ITM12661,2024-10-14,7,191.91,1343.37,Fulfilled
SO00007,CUST0302,ITM12350,2024-10-06,14,63.71,891.94,Fulfilled
SO00008,CUST0082,ITM11275,2024-05-22,1,61.54,61.54,Fulfilled
SO00009,CUST0080,ITM11409,2024-12-23,14,111.3,1558.2,Fulfilled
SO00010,CUST0048,ITM10225,2024-04-20,25,55.4,1385.0,Fulfilled
SO00011,CUST0177,ITM11111,2024-07-13,4,178.94,715.76,Fulfilled
SO00012,CUST0374,ITM11108,2024-11-05,9,177.25,1595.25,Fulfilled
SO00013,CUST0473,ITM11539,2024-08-23,18,46.0,828.0,Fulfilled
SO00014,CUST0425,ITM11890,2024-07-12,3,114.89,344.67,Fulfilled
SO00015,CUST0186,ITM10457,2024-11-17,20,137.49,2749.8,Backordered
SO00016,CUST0024,ITM10744,2024-10-22,7,27.35,191.45,Fulfilled
SO00017,CUST0041,ITM11281,2024-12-04,8,137.52,1100.16,Fulfilled
SO00018,CUST0233,ITM12730,2024-04-29,4,186.33,745.32,Fulfilled
SO00019,CUST0182,ITM12703,2024-11-21,12,177.04,2124.48,Fulfilled
SO00020,CUST0480,ITM11824,2024-04-17,22,192.46,4234.12,Fulfilled
SO00021,CUST0326,ITM13060,2024-12-15,21,46.02,966.42,Fulfilled
SO00022,CUST0084,ITM10121,2024-03-28,18,172.04,3096.72,Fulfilled
SO00023,CUST0474,ITM11071,2024-08-24,13,69.42,902.46,Fulfilled
SO00024,CUST0351,ITM11397,2024-11-23,23,157.42,3620.66,Fulfilled
SO00025,CUST0118,ITM10690,2024-06-15,25,15.23,380.75,Fulfilled
SO00026,CUST0034,ITM12314,2024-01-17,11,130.34,1433.74,Fulfilled
SO00027,CUST0162,ITM13074,2024-04-18,19,116.86,2220.34,Fulfilled
SO00028,CUST0453,ITM11991,2024-04-18,21,176.58,3708.18,Fulfilled
SO00029,CUST0072,ITM12163,2024-11-25,15,148.56,2228.4,Fulfilled
SO00030,CUST0135,ITM11189,2024-05-06,24,129.35,3104.4,Fulfilled
SO00031,CUST0205,ITM13096,2024-10-26,14,161.86,2266.04,Backordered
SO00032,CUST0071,ITM11970,2024-07-04,8,70.86,566.88,Cancelled
SO00033,CUST0025,ITM11363,2024-09-17,16,54.95,879.2,Fulfilled
SO00034,CUST0406,ITM11865,2024-02-26,5,154.3,771.5,Fulfilled
SO00035,CUST0198,ITM13054,2024-12-14,14,100.1,1401.4,Fulfilled
SO00036,CUST0271,ITM10846,2024-07-14,20,33.59,671.8,Cancelled
SO00037,CUST0006,ITM11531,2024-05-08,18,134.32,2417.76,Fulfilled
SO00038,CUST0454,ITM12257,2024-12-14,24,100.85,2420.4,Fulfilled
SO00039,CUST0329,ITM11528,2024-10-01,25,127.7,3192.5,Fulfilled
SO00040,CUST0081,ITM12878,2024-06-23,4,97.66,390.64,Fulfilled
SO00041,CUST0449,ITM12434,2024-08-20,1,156.22,156.22,Backordered
SO00042,CUST0260,ITM11402,2024-05-14,17,62.68,1065.56,Fulfilled
SO00043,CUST0328,ITM10375,2024-02-24,21,65.29,1371.09,Fulfilled
SO00044,CUST0192,ITM11314,2024-09-16,20,109.73,2194.6,Fulfilled
SO00045,CUST0473,ITM10757,2024-03-23,18,48.25,868.5,Backordered
SO00046,CUST0251,ITM10866,2024-09-28,1,90.0,90.0,Fulfilled
SO00047,CUST0450,ITM11896,2024-01-10,4,32.89,131.56,Backordered
SO00048,CUST0450,ITM10127,2024-06-06,8,137.47,1099.76,Fulfilled
SO00049,CUST0249,ITM12989,2024-10-17,3,113.91,341.73,Fulfilled
SO00050,CUST0065,ITM10734,2024-02-05,25,193.35,4833.75,Fulfilled
SO00051,CUST0282,ITM10968,2024-03-06,22,107.04,2354.88,Fulfilled
